gh_id,paper_doi,reuse_type,comment,citation_number,reused_doi,alt_url,page_num,,,,,,,,,,,,,,,,,,
XueqiYang,https://doi.org/10.1145/3368089.3409699,Stepping stone,Comparison with Existing Tools,,https://dl.acm.org/doi/10.1145/3238147.3238170,https://github.com/pangeneral/AsyncChecker,960,,,,,,,,,,,,,,,,,,
XueqiYang,https://doi.org/10.1145/3368089.3409700,Stepping stone,Comparison with Existing Tools,,https://dl.acm.org/doi/10.1145/2950290.2950316,https://github.com/pangeneral/AsyncChecker,960,,,,,,,,,,,,,,,,,,
XueqiYang,https://doi.org/10.1145/3368089.3409701,dataset,reuse of dataset,,,https://f-droid.org ,953,,,,,,,,,,,,,,,,,,
XueqiYang,https://doi.org/10.1145/3368089.3409702,dataset,reuse of dataset,,,https://play.google.com/store,953,,,,,,,,,,,,,,,,,,
XueqiYang,https://doi.org/10.1145/3368089.3409703,dataset,reuse of dataset,,,https://www.wandoujia.com/,953,,,,,,,,,,,,,,,,,,
XueqiYang,https://doi.org/10.1145/3368089.3409704,sanity check,defensive citation,,https://www.sciencedirect.com/science/article/abs/pii/S0950584917302987?via%3Dihub,,953,,,,,,,,,,,,,,,,,,
XueqiYang,https://doi.org/10.1145/3368089.3409674,tool,tool to pre-process the issue reports from project,,,https://stanfordnlp.github.io/CoreNLP/,966,,,,,,,,,,,,,,,,,,
XueqiYang,https://doi.org/10.1145/3368089.3409675,sanity check,,,,https://issues.apache.org/jira/browse/IGNITE-7849,969,,,,,,,,,,,,,,,,,,
XueqiYang,https://doi.org/10.1145/3368089.3409676,dataset,,,,https://sites.google.com/view/fse-2020-hlp,970,,,,,,,,,,,,,,,,,,
XueqiYang,https://doi.org/10.1145/3368089.3409677,stepping stone,BERT benefits from transfer learning,,https://arxiv.org/pdf/1810.04805.pdf,,965,,,,,,,,,,,,,,,,,,
XueqiYang,https://doi.org/10.1145/3368089.3409678,stepping stone,"outperform previous methods, such as CNNs, RNNs",,https://arxiv.org/pdf/1706.03762.pdf,,965,,,,,,,,,,,,,,,,,,
XueqiYang,https://doi.org/10.1145/3368089.3409703,metric,Chappie is evaluated over the DaCapo benchmark suite [10],,https://doi.org/10.1145/1167515.1167488,,7,,,,,,,,,,,,,,,,,,
XueqiYang,https://doi.org/10.1145/3368089.3409703,tool,an Apache toolkit for transforming and rendering Scalable Vector Graphics (SVG),,,https://xmlgraphics.apache.org/batik/,9,,,,,,,,,,,,,,,,,,
XueqiYang,https://doi.org/10.1145/3368089.3409683,metric,"Our empirical evaluation comprises of three different stoppage criteria, including the one from He et al",,https://dl.acm.org/doi/10.1145/3338906.3338912,,989,,,,,,,,,,,,,,,,,,
XueqiYang,https://doi.org/10.1145/3368089.3409684,tool,de-facto standard framework for writing and executing software microbenchmarks,,,https://openjdk.java.net/projects/code-tools/jmh/,990,,,,,,,,,,,,,,,,,,
XueqiYang,https://doi.org/10.1145/3368089.3409685,dataset,Github’s search application programming interface (API) with an approach as outlined by Stefan et al.,,https://dl.acm.org/doi/10.1145/3030207.3030226,,991,,,,,,,,,,,,,,,,,,
XueqiYang,https://doi.org/10.1145/3368089.3409686,dataset,"Google BigQuery’s most recent Github snapshot2 , queried for org.openjdk.jmh import statements",,https://ieeexplore.ieee.org/document/8747433/,,991,,,,,,,,,,,,,,,,,,
XueqiYang,https://doi.org/10.1145/3368089.3409687,dataset,"Google BigQuery’s most recent Github snapshot2 , queried for org.openjdk.jmh import statements",,https://dl.acm.org/doi/10.1145/3196398.3196407,,991,,,,,,,,,,,,,,,,,,
XueqiYang,https://doi.org/10.1145/3368089.3409669,stepping stone,We have implemented all our ideas as an extension of Spectra,,https://arxiv.org/abs/1904.06668,,100,,,,,,,,,,,,,,,,,,
XueqiYang,https://doi.org/10.1145/3368089.3409670,stepping stone,We have implemented all our ideas as an extension of Spectra,,,http://smlab.cs.tau.ac.il/syntech/spectra/,100,,,,,,,,,,,,,,,,,,
XueqiYang,https://doi.org/10.1145/3368089.3409671,metric,a standard definition of linear temporal logic (LTL) [10],,https://doi.org/10.1016/j.jcss.2011.08.007,,100,,,,,,,,,,,,,,,,,,
XueqiYang,https://doi.org/10.1145/3368089.3409672,tool,We use the benchmark SYNTECH15 [19],,https://doi.org/10.1007/s00236-019-00351-9,,106,,,,,,,,,,,,,,,,,,
XueqiYang,https://doi.org/10.1145/3368089.3409673,tool,"SYNTECH17 [33, 42] has 149 specifications",,https://arxiv.org/abs/1904.06668,,107,,,,,,,,,,,,,,,,,,
XueqiYang,https://doi.org/10.1145/3382494.3410680,stepping stone,Our study focuses on Python projects as this is the most popular language for OpenSource Data Science projects on GitHub [7].,,https://dl.acm.org/doi/10.1145/3196398.3196445,,,,,,,,,,,,,,,,,,,,
XueqiYang,https://doi.org/10.1145/3382494.3410681,tool,Pylint [23],,,https://www.pylint.org/,,,,,,,,,,,,,,,,,,,
XueqiYang,https://doi.org/10.1145/3382494.3410682,metric,We used Radon [25] to compute McCabe’s cyclomatic complexity,,10.1109/TSE.1976.233837,https://radon.readthedocs.io/en/latest/,,,,,,,,,,,,,,,,,,,
XueqiYang,https://doi.org/10.1145/3382494.3410683,data,we reuse the Boa Data Science corpus of 1558 Open-Source Python projects curated from GitHub by Biswas et al. [6],,10.1109/MSR.2019.00086,,,,,,,,,,,,,,,,,,,,
XueqiYang,https://doi.org/10.1145/3382494.3410671,NONE,,,,,,,,,,,,,,,,,,,,,,,
XueqiYang,https://doi.org/10.1145/3382494.3410681,stepping stone,"Based on criteria formulated in [24], such as authoritativeness of the outlet and author as well as objectivity of the style and content",,https://doi.org/10.1016/j.infsof.2018.09.006,,,,,,,,,,,,,,,,,,,,
XueqiYang,https://doi.org/10.1145/3382494.3410682,tool,Sato et al. [44] partition similar activities into six pipeline stages.,,,https://martinfowler.com/articles/cd4ml.html,,,,,,,,,,,,,,,,,,,
XueqiYang,https://doi.org/10.1145/3382494.3410683,tool,we followed the recommendations of Kitchenham et al. [33] and Ciolkowski et al. [15],,https://doi.org/10.1145/566493.566495,,,,,,,,,,,,,,,,,,,,
XueqiYang,https://doi.org/10.1145/3382494.3410684,tool,we followed the recommendations of Kitchenham et al. [33] and Ciolkowski et al. [15],,https://doi.org/10.1007/978-3-540-45143-3_7,,,,,,,,,,,,,,,,,,,,
XueqiYang,https://doi.org/10.1145/3382494.3410685,tool,models obtained from an AutoML system that performed automatic model selection and hyper-parameter optimisation [22].,,,https://ml.informatik.uni-freiburg.de/~staeglis/deploy/papers/15-NIPS-auto-sklearn-preprint.pdf,,,,,,,,,,,,,,,,,,,
XueqiYang,https://doi.org/10.1145/3382494.3410692,metrics,Cohen’s kappa coefficient,,10.4103/2455-5568.196883,,,,,,,,,,,,,,,,,,,,
XueqiYang,https://doi.org/10.1145/3382494.3410693,stepping stone,"identifies that exceptions are one of the top-most searched items, but the study lacks the detail of exception search items and behavior",,https://doi.org/10.1007/s10664-017-9514-4,,,,,,,,,,,,,,,,,,,,
XueqiYang,https://doi.org/10.1145/3382494.3410694,stepping stone,t code-related search tends to use more time than noncode related search,,https://dl.acm.org/doi/10.1145/3196398.3196425,,,,,,,,,,,,,,,,,,,,
XueqiYang,https://doi.org/10.1145/3382494.3410636,metrics,Cognitive Complexity,,https://dl.acm.org/doi/10.1145/3194164.3194186,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
